section,celltype,module,design,basis,n,beta,se_iid,se_blk,se_ratio,ci_iid_lo,ci_iid_hi,ci_blk_lo,ci_blk_hi
7259_liver_sbr_Male_26-U1,Endothelial,tnfa_nfkb_proximal,naive,nearest,12292,0.010252236829560885,0.0019611247004500147,0.00215141716096279,1.097032310321271,0.006408432416678857,0.014096041242442913,0.00594813790192199,0.014714169293270709
7259_liver_sbr_Male_26-U1,Endothelial,tnfa_nfkb_proximal,naive,superposition,12292,0.0066344343499310544,0.0014137063372229356,0.001477291460505707,1.0449776036285423,0.0038635699289741006,0.009405298770888009,0.003618274290427361,0.00951464135240566
7259_liver_sbr_Male_26-U1,Hepatocytes,downstream_arrest,ctrl,nearest,28529,0.0009773126438611093,0.0008186307544422909,0.0009419256220170188,1.1506110867514685,-0.0006272036348457808,0.0025818289225679994,-0.0009928155695385747,0.0028036245353192484
7259_liver_sbr_Male_26-U1,Hepatocytes,downstream_arrest,ctrl,superposition,28529,-0.000132594114050366,4.5416429415933286e-05,8.83897679237016e-05,1.946206891656087,-0.00022161031570559525,-4.357791239513677e-05,-0.000320320331750401,4.5957541369943456e-05
7259_liver_sbr_Male_26-U1,Hepatocytes,downstream_arrest,naive,nearest,28529,-0.001548355096018633,0.0004351555510950348,0.0007258708627382246,1.668072166175124,-0.0024012599761649013,-0.0006954502158723649,-0.0027875476202115362,3.819887660979097e-05
7259_liver_sbr_Male_26-U1,Hepatocytes,downstream_arrest,naive,superposition,28529,-0.0002407544164306871,3.4823167422101744e-05,0.00011837930792290886,3.3994411389406034,-0.00030900782457800655,-0.00017250100828336768,-0.00047290096332980455,-3.169226842125866e-05
7259_liver_sbr_Male_26-U1,Hepatocytes,emt_ecm,ctrl,nearest,28529,0.003503332807333454,0.0012152167556767554,0.0018944349479506851,1.5589276062077275,0.0011215079662070136,0.0058851576484598945,-0.00044530101874349075,0.006774730836194621
7259_liver_sbr_Male_26-U1,Hepatocytes,emt_ecm,ctrl,superposition,28529,0.0007002526169017948,6.738331580298501e-05,0.0002449650614109907,3.635396366174948,0.0005681813179279441,0.0008323239158756454,0.0001380889074029296,0.001093821305495041
7259_liver_sbr_Male_26-U1,Hepatocytes,emt_ecm,naive,nearest,28529,0.017762698304070033,0.0012157474622971896,0.0040031654435736495,3.292760682394972,0.015379833277967542,0.020145563330172526,0.009719498079255184,0.025814068866557346
7259_liver_sbr_Male_26-U1,Hepatocytes,emt_ecm,naive,superposition,28529,0.0011642710324698197,5.265407965948823e-05,0.0003883135201685235,7.374804054685431,0.0010610690363372227,0.0012674730286024167,0.00036381370236133174,0.001965986137435967
