section,arm,band,n_cells,weights,mean_neighbours,islands,centring,field,kind,moran_I,E_I,z_rand,p_rand,z_norm,p_norm,p_sim,mean,sd,frac_nonzero
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,ctcentred,genomic_control,control,0.0012522270667189397,-6.025548324897566e-06,3.6945118832621606,0.0002203095909759468,3.6929051890376168,0.00022170669662450218,,-3.425107034833968e-19,0.10510014071349162,0.00960466615650665
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,ctcentred,all_controls,control,0.04336380869842495,-6.025548324897566e-06,127.2981893330972,0.0,127.28818046759542,0.0,,6.850214069667936e-19,0.26904041938960066,0.05871861461427685
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,ctcentred,neg_probe_rate,control,0.0008626974742047183,-6.025548324897566e-06,2.5604263547694117,0.010454381854490711,2.549656340371914,0.010782915195788948,,8.780181607850748e-22,9.616934813218398e-05,0.007501762462265231
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,ctcentred,downstream_arrest,module,0.014434240846497052,-6.025548324897566e-06,42.381818761442666,0.0,42.38142171368792,0.0,,7.706490828376428e-19,0.02184396975858788,0.6771530660817903
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,ctcentred,emt_ecm,module,0.06503573359078564,-6.025548324897566e-06,190.89591695481394,0.0,190.89413918729494,0.0,,1.284415138062738e-18,0.04083121798436215,0.7672947258693308
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,ctcentred,il6_jak_stat3,module,0.038424603759557356,-6.025548324897566e-06,112.79277503173063,0.0,112.79187397843397,0.0,,-8.56276758708492e-20,0.03743208805349627,0.3838793451473539
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,ctcentred,interferon_response,module,0.04459560480568623,-6.025548324897566e-06,130.90541488153312,0.0,130.90343719899752,0.0,,1.712553517416984e-19,0.03200126165884995,0.5081977091003308
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,ctcentred,oxidative_stress,module,0.04174237819546475,-6.025548324897566e-06,122.52947989783094,0.0,122.52936729569754,0.0,,-2.3975749243837777e-18,0.06303021280268217,0.9224094817457114
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,ctcentred,secondary_senescence,module,0.03995366368634884,-6.025548324897566e-06,117.27994790729156,0.0,117.2795843717885,0.0,,-1.712553517416984e-19,0.027056017218698884,0.7813160923349461
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,ctcentred,tnfa_nfkb_proximal,module,0.06066901623370194,-6.025548324897566e-06,178.08173861060433,0.0,178.07805361415015,0.0,,-2.354761086448353e-19,0.030103877768870028,0.37218985183265946
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,ctcentred,transcript_counts,technical,0.16521412106223524,-6.025548324897566e-06,484.9273876429323,0.0,484.9124328904622,0.0,,-3.156578643302985e-15,706.2592630122801,1.0
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,ctcentred,cell_area,technical,0.038735471598690646,-6.025548324897566e-06,113.70534028333361,0.0,113.70425472178752,0.0,,-3.507309603669983e-15,85.79979420656403,1.0
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,ctcentred,density_50um,technical,0.5639774977486027,-6.025548324897566e-06,1655.28305640144,0.0,1655.2619520225508,0.0,,-1.5782893216514925e-15,10.619973647237442,0.9998071836154278
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,ctcentred,unassigned_codeword,technical,0.22793428709260086,-6.025548324897566e-06,669.0437111676534,0.0,668.9928185153858,0.0,,2.7400856278671743e-17,1.0281847934734953,0.3144533956772977
7248_liver_sham_Male_26-U1,sham,in_band,224921,knn6,6.0,0,raw,neg_control_probe,control,0.007055694056561172,-4.44602525342344e-06,6.020452021115247,1.73930657838056e-09,6.017681458491775,1.7693292841807797e-09,0.001,0.005184042397108318,0.07255254808210529,0.005130690331271869
7248_liver_sham_Male_26-U1,sham,in_band,224921,knn6,6.0,0,raw,neg_control_codeword,control,0.05820175416645328,-4.44602525342344e-06,49.618709252799775,0.0,49.611816140178966,0.0,0.001,0.03296713068143926,0.1963624180351247,0.03013057918113471
7248_liver_sham_Male_26-U1,sham,in_band,224921,knn6,6.0,0,raw,genomic_control,control,0.003315364180503247,-4.44602525342344e-06,2.830486868815479,0.004647721896044319,2.8296266206320158,0.00466023553551821,0.006,0.010225812618652772,0.10446355513534358,0.009861240168770368
7248_liver_sham_Male_26-U1,sham,in_band,224921,knn6,6.0,0,raw,all_controls,control,0.06026374897464985,-4.44602525342344e-06,51.37448955748684,0.0,51.369348962615774,0.0,0.001,0.04837698569720035,0.23939866930601242,0.04365977387616096
7248_liver_sham_Male_26-U1,sham,in_band,224921,knn6,6.0,0,raw,neg_probe_rate,control,0.0011816409586801987,-4.44602525342344e-06,1.0149772704917395,0.31011666239710467,1.0109563788628557,0.3120373081272031,0.214,4.0546258245849234e-06,8.05888503328953e-05,0.005130690331271869
7248_liver_sham_Male_26-U1,sham,in_band,224921,knn6,6.0,0,raw,downstream_arrest,module,0.08711853431579078,-4.44602525342344e-06,74.25970362072134,0.0,74.25891516760036,0.0,0.001,0.004701181527406443,0.021699996391104388,0.5892691211580955
7248_liver_sham_Male_26-U1,sham,in_band,224921,knn6,6.0,0,raw,emt_ecm,module,0.43039504170611115,-4.44602525342344e-06,366.8538442324184,0.0,366.8492391159054,0.0,0.001,0.02442748524688247,0.05881724756625204,0.5839472525909097
7248_liver_sham_Male_26-U1,sham,in_band,224921,knn6,6.0,0,raw,il6_jak_stat3,module,0.09156963028695013,-4.44602525342344e-06,78.05315483776512,0.0,78.05278857311623,0.0,0.001,-0.010172447881139898,0.045127503947828274,0.3113093041556813
7248_liver_sham_Male_26-U1,sham,in_band,224921,knn6,6.0,0,raw,interferon_response,module,0.13611253648491475,-4.44602525342344e-06,116.01989968198033,0.0,116.01875208498146,0.0,0.001,0.008333827743645984,0.03724872150194501,0.5051195753175559
7248_liver_sham_Male_26-U1,sham,in_band,224921,knn6,6.0,0,raw,oxidative_stress,module,0.2901304996774285,-4.44602525342344e-06,247.29540388377825,0.0,247.29533167659267,0.0,0.001,0.14755556693827127,0.08229152307909357,0.9335900160500799
7248_liver_sham_Male_26-U1,sham,in_band,224921,knn6,6.0,0,raw,secondary_senescence,module,0.054123139952957276,-4.44602525342344e-06,46.1355454103365,0.0,46.135426033966276,0.0,0.001,0.033918179051800154,0.02965036737598083,0.9097549806376461
7248_liver_sham_Male_26-U1,sham,in_band,224921,knn6,6.0,0,raw,tnfa_nfkb_proximal,module,0.13309306592573955,-4.44602525342344e-06,113.44610992020431,0.0,113.44511873098995,0.0,0.001,-0.012582299250368932,0.028789970054560243,0.2573481355675993
7248_liver_sham_Male_26-U1,sham,in_band,224921,knn6,6.0,0,raw,transcript_counts,technical,0.13999405573290968,-4.44602525342344e-06,119.32835744025132,0.0,119.32714910526191,0.0,0.001,1287.5192578727642,1067.5494633505566,1.0
7248_liver_sham_Male_26-U1,sham,in_band,224921,knn6,6.0,0,raw,cell_area,technical,0.12009042329372768,-4.44602525342344e-06,102.36269979424867,0.0,102.36236958276882,0.0,0.001,164.4034718387576,125.18973020408396,1.0
7248_liver_sham_Male_26-U1,sham,in_band,224921,knn6,6.0,0,raw,density_50um,technical,0.9757834294065153,-4.44602525342344e-06,831.72347509953,0.0,831.7087957690524,0.0,0.001,38.25614326808079,16.84321543498922,0.9997910377421406
