gene_name,gene_id,feature_type
CCDC51,ENSG00000164051,Gene Expression
CCDC57,ENSG00000176155,Gene Expression
CCDC6,ENSG00000108091,Gene Expression
CCDC61,ENSG00000104983,Gene Expression
CCDC62,ENSG00000130783,Gene Expression
CCDC7,ENSG00000216937,Gene Expression
CCDC77,ENSG00000120647,Gene Expression
CCDC80,ENSG00000091986,Gene Expression
CCDC86,ENSG00000110104,Gene Expression
CCDC9,ENSG00000105321,Gene Expression
CCDC91,ENSG00000123106,Gene Expression
CCK,ENSG00000187094,Gene Expression
CCKAR,ENSG00000163394,Gene Expression
CCKBR,ENSG00000110148,Gene Expression
CCL1,ENSG00000108702,Gene Expression
CCL11,ENSG00000172156,Gene Expression
CCL13,ENSG00000181374,Gene Expression
CCL14,ENSG00000276409,Gene Expression
CCL15,ENSG00000275718,Gene Expression
CCL16,ENSG00000275152,Gene Expression
CCL17,ENSG00000102970,Gene Expression
CCL18,ENSG00000275385,Gene Expression
CCL19,ENSG00000172724,Gene Expression
CCL2,ENSG00000108691,Gene Expression
CCL20,ENSG00000115009,Gene Expression
CCL21,ENSG00000137077,Gene Expression
CCL22,ENSG00000102962,Gene Expression
CCL23,ENSG00000274736,Gene Expression
CCL24,ENSG00000106178,Gene Expression
CCL25,ENSG00000131142,Gene Expression
CCL26,ENSG00000006606,Gene Expression
CCL27,ENSG00000213927,Gene Expression
CCL28,ENSG00000151882,Gene Expression
CCL3,ENSG00000277632,Gene Expression
CCL4,ENSG00000275302,Gene Expression
CCL5,ENSG00000271503,Gene Expression
CCL7,ENSG00000108688,Gene Expression
CCL8,ENSG00000108700,Gene Expression
CCN1,ENSG00000142871,Gene Expression
CCN2,ENSG00000118523,Gene Expression
CCN3,ENSG00000136999,Gene Expression
CCN4,ENSG00000104415,Gene Expression
CCN5,ENSG00000064205,Gene Expression
CCNA1,ENSG00000133101,Gene Expression
CCNA2,ENSG00000145386,Gene Expression
