gene,corr_zonation,detection_rate
Brwd3,0.0014026297,0.02662107877278515
Bsn,0.001489186,0.0002040198954573915
Bsnd,-8.2224375e-05,0.0001618088826041381
Bsx,0.0015513734,0.00014070337617751137
Btbd2,-0.003213419,0.023856257430897053
Btbd9,-0.008508452,0.030335647903871454
Btc,-0.0054427143,0.0029336653933011124
Btk,-0.0104423575,0.004593965232195746
Btla,-0.006055798,0.0010904511653757132
Btrc,-0.00012030241,0.022547716032446197
Bub1,-0.0014127014,0.000816079581829566
Bub1b,-0.006274431,0.0047276334395643825
C1ql1,0.0023035475,0.0003165825963994006
C1qtnf12,-0.0039543537,0.010714562095917491
C1qtnf5,-0.011823316,0.008111549636633531
C1rb,-0.028704174,0.4771673596307943
C2,-0.10721232,0.2790640411416672
C2cd6,-0.00202274,8.442202570650683e-05
C3,-0.16089645,0.9990994983924639
C3ar1,-0.021534499,0.010686421420681989
C4b,-0.19012767,0.885678506855772
C4bp,0.054107483,0.7701399295076086
C5ar1,-0.0064926683,0.004291452973414097
C5ar2,-0.02428542,0.013521594450658843
C6,0.24752656,0.3224288216795762
C7,-0.008488224,0.0009919588020514552
Cab39l,0.01592541,0.23161886269461035
Cabp1,-0.00908014,0.0010412049837135841
Cacna1a,-0.008960372,0.0032361776520827617
Cacna1b,0.000404137,0.00017587922022188921
Cacna1c,-0.0018175632,0.0011608028534644689
Cacna1d,-0.018378025,0.004171855103663212
Cacna1g,-0.0025380529,0.0003869342844881563
Cacna1h,0.00051129266,0.0006613058680343035
Cacna1s,-0.00027218426,0.0022160781747958044
Cacna2d1,-0.00015391012,0.0023075353693111865
Cacna2d2,-1.0420114e-05,0.0003306529340171517
Cacnb1,-0.007034254,0.004734668608373258
Cacng1,-0.00811263,0.0009708532956248285
Cacng2,-0.0037258593,0.00021809023307514265
Cacng3,0.0029100527,0.00010552753213313353
Cadm1,-0.08695674,0.09668432494037695
Cadm3,-0.012262588,0.011389938301569546
Cadps2,-0.01973627,0.07253962558831599
Calb1,-0.0046159425,0.0003447232716349029
Calb2,0.0133535825,0.000309547427590525
Calcr,-0.0019176491,7.738685689763126e-05
Calcrl,-0.025875669,0.048437137249108295
Calu,-0.027093353,0.11220390733275645
Camk1d,-0.050093688,0.0827617258676122
Camk2a,-0.00093426666,0.00023919573950176935
Camk2b,-0.042284332,0.023321584601422512
Camk2d,-0.011238689,0.023335654939040263
Camk2g,0.019511605,0.017334655945069402
Camk4,-0.0031721615,0.0007738685689763126
Camkv,-0.0031364681,0.00017587922022188921
Camsap1,0.0008764088,0.044405985521622594
Camsap2,-0.0032284043,0.08403509142201868
Camsap3,0.00064961705,0.055676325953441255
Camta2,2.3529803e-05,0.0858994111563707
Canx,-0.03933426,0.48932413133253133
Cap2,-0.0014598805,0.0013085413984508557
Capn1,0.026589608,0.03427534243684177
Capn10,-0.015040728,0.10587929057357731
Capn2,-0.052258216,0.15793250459044764
Caprin1,0.056965787,0.3583081826048416
Car4,-0.0024455036,0.000408039790914783
Car7,0.0065786634,0.00277889167950585
Car9,-0.0002136971,0.0012311545415532245
Card9,-0.0067064543,0.004959794010257276
Carm1,0.0034749138,0.08543509001498491
Carmil1,-0.028055828,0.06105823009223106
Carns1,-0.0022818067,0.001484420618672745
Cartpt,0.0018820214,0.00021809023307514265
Casc4,0.08874245,0.01682812379083036
Caskin1,-0.001548713,0.0011889435286999712
Casp1,-0.018204842,0.009483407554364267
Casp12,-0.0057280543,0.003179896301611757
Casp2,-0.0069046356,0.007949740754029393
Casp3,-0.015863454,0.026543691915887523
Casp4,-0.010178861,0.005058286373581534
Casp7,0.0036964465,0.03886227250022864
Casp8,0.017021265,0.08307127329520272
Casp9,0.003772409,0.040958752805273564
Casq1,0.0033352925,0.0012874358920242292
Casq2,0.0034891705,0.0003165825963994006
Casr,0.006749723,9.849236332425796e-05
Casz1,0.0053789807,0.005522607514967322
Cat,-0.003973193,0.9010433155343562
Cav1,-0.004297126,0.005459290995687442
Cav2,-0.033283837,0.03413463906066426
Cav3,-0.0017628688,0.00021809023307514265
Cavin1,-0.009255754,0.028267308274062035
Cbfb,0.008174232,0.030666300837888606
Cbl,-0.014133041,0.025284396699098793
Cblb,0.012909944,0.029463286971570884
Cblc,-0.020498624,0.06191652068691388
Cblif,-0.00054303656,0.0001618088826041381
Cbln1,-0.0021877084,0.0006120596863721745
Cbln2,-0.00027462246,0.00019698472664851592
